suburb,council_area,frequency,frequency_order
heidelberg west,banyule,13,1
highett,bayside,25,1
hillside,melton,4,1
hoddles creek,yarra ranges,2,1
holmesglen,monash,1,1
hoppers crossing,wyndham,22,1
hughesdale,monash,19,1
humevale,whittlesea,2,1
huntingdale,monash,5,1
hurstbridge,nillumbik,5,1
iona,cardinia,1,1
ivanhoe,banyule,34,1
ivanhoe (melbourne),banyule,1,1
ivanhoe east,banyule,3,1
jacana,hume,5,1
kallista,yarra ranges,12,1
kalorama,yarra ranges,17,1
kangaroo ground,nillumbik,15,1
kealba,brimbank,7,1
keilor,brimbank,4,1
keilor downs,brimbank,7,1
keilor east,moonee valley,13,1
keilor lodge,brimbank,1,1
keilor park,brimbank,6,1
kensington,melbourne,112,1
kew,boroondara,108,1
kew east,boroondara,10,1
"kew east, victoria, au",boroondara,2,1
keysborough,greater dandenong,41,1
kilsyth,maroondah,3,1
kilsyth south,maroondah,3,1
kinglake west,whittlesea,1,1
kings park,brimbank,1,1
kingsbury,darebin,11,1
kingsville,maribyrnong,10,1
knoxfield,knox,9,1
kooyong,stonnington,5,1
kurunjang,melton,7,1
lalor,whittlesea,10,1
langwarrin,frankston,9,1
langwarrin south,frankston,10,1
launching place,yarra ranges,8,1
laverton,hobsons bay,15,1
lilydale,yarra ranges,20,1
little river,wyndham,1,1
lower plenty,banyule,6,1
lynbrook,casey,1,1
lyndhurst,casey,4,1
lysterfield,knox,3,1
macclesfield,yarra ranges,4,1
macleod,banyule,4,1
maidstone,maribyrnong,23,1
malvern,stonnington,38,1
malvern east,stonnington,93,1
"malvern, melbourne",stonnington,1,1
manningham,manningham,7,1
manor lakes,wyndham,1,1
maribyrnong,maribyrnong,57,1
"maribyrnong, melbourne",maribyrnong,1,1
mckinnon,glen eira,16,1
mcmahons creek,yarra ranges,3,1
meadow heights,hume,3,1
melborne,melbourne,1,1
melbourne,melbourne,3852,1
melbourne (eltham),nillumbik,1,1
melbourne cbd,melbourne,1,1
melbourne city,melbourne,3,1
melbourne vic 3000,melbourne,1,1
melbourne vic 3004,melbourne,1,1
melbourne victoria,melbourne,1,1
"melbourne, victoria, au",boroondara,1,1
melton south,melton,14,1
melton south ( strathtulloh),melton,1,1
melton west,melton,5,1
mentone,kingston,20,1
menzies creek,yarra ranges,6,1
mernda,whittlesea,7,1
mickleham,hume,3,1
middle park,port phillip,48,1
middle park melbourne,port phillip,2,1
mill park,whittlesea,18,1
millgrove,yarra ranges,7,1
mitcham,whitehorse,34,1
mlebourne,glen eira,1,1
monbulk,yarra ranges,8,1
mont albert,whitehorse,25,1
mont albert north,whitehorse,18,1
montmorency,banyule,9,1
montrose,yarra ranges,3,1
moonee ponds,moonee valley,52,1
moorabbin,kingston,13,1
mooroolbark,yarra ranges,15,1
mordialloc,kingston,18,1
moreland city,moreland,1,1
mount cottrell,wyndham,2,1
mount dandenong,yarra ranges,28,1
mount eliza,frankston,1,1
mount evelyn,yarra ranges,7,1
mount toolebewong,yarra ranges,3,1
mount waverley,monash,71,1
mt dandenong,yarra ranges,15,1
mt waverley,monash,4,1
mulgrave,monash,22,1
